title,category,winner
 물놀이 필수템 젖은 옷도 한꺼번에  서퍼가 만든 드라이백 드라이로브,스포츠·모빌리티,0
수륙양용 스쿠버슈즈  물 속과 밖  뉴 플라이핏 하나로 끝내세요 ,스포츠·모빌리티,0
 골프 라운딩 필수템   쿨링밴드 하나로 여름을 쿨하게 즐기자 ,스포츠·모빌리티,0
     와    공인  착시현상 없는 정확한 퍼팅  엔비드 크리스탈퍼터,스포츠·모빌리티,1
 어  나 몇 개 했지   여러분은 운동하세요  숫자는 우리가 셀게요,스포츠·모빌리티,0
 업그레이드 펀딩 한방에 쫙 펴지는 등산스틱         초경량    ,스포츠·모빌리티,1
 만족도     충격흡수 휴대폰 마운트 당신의 카메라를 보호   가드댐퍼,스포츠·모빌리티,0
무려   만      박 일 사용가능 괴물용량 인산철 파워뱅크,스포츠·모빌리티,0
     작고 가벼운 전기자전거  미니벨로       년식 ,스포츠·모빌리티,0
피로감이 쌓인 등 가슴 목을  방향으로 동시에 스트레칭    ,스포츠·모빌리티,0
 글로벌  억 여름 오기 전  운동 시작해야지   줄넘기의 혁명 벨리타스,스포츠·모빌리티,1
 신어보면  달라요  비교불가 쿠션감의 운동화        ,스포츠·모빌리티,0
 이탈리아 밀라노의 조향사가 준비한  고급 차량용 방향제  디밀란,스포츠·모빌리티,0
 헬스운동화 국룰 운동 좀 하는 사람이라면  접지력 높은 운동화 키에코비,스포츠·모빌리티,1
논슬립 실리콘 골프 장갑으로 골린이들의 그립 고민 해결 ,스포츠·모빌리티,0
  시간 보냉  아웃도어에 시원함을 더하다  돌돌 말리는 신개념 보냉물통,스포츠·모빌리티,0
배달대행용 오토바이 블루투스를 소개 합니다 ,스포츠·모빌리티,0
앵콜    만 골퍼들의 그립과 스윙을 바로 잡아줄 진짜 골프우산이 왔다 ,스포츠·모빌리티,0
여과기능유지 편한숨쉬기 디자인까지  여름철에도 숨쉬기 편한 퓨전마스크,스포츠·모빌리티,0
 앵콜  골프가 재밌고 쉬워진다  믿고 치는  클럽넘버마커,스포츠·모빌리티,0
  차 앵콜  단   초완성  캠핑에서 침대의 쿠션감을 즐기는 에어소파 ,여행·레저,0
  년 스텐 제조사가 만들었어요    만개 팔린  만원대 통 중 코펠세트,여행·레저,1
 아마존 여름템  위  스노클링 하이드로핀 하나면 완벽한 휴가준비 끝 ,여행·레저,1
   리터 대용량 내하중      아우틴스 블루 웨건 우드 상판 포함,여행·레저,0
 내 손안의 작은 불 멍  더 밝고 더 안전한 감성랜턴 골든레버,여행·레저,0
               오레곤 크릭 카모 캠핑체어,여행·레저,0
금액을 확 낮췄다  뭐가 들었을까  사진찍고싶은 우드 캠핑용 양념 박스,여행·레저,0
작은 스토브가 맵다  미친 크기와 화력  플라타 랜더   스토브 ,여행·레저,1
 하이엔드 요트투어  한강  도심 속 힐링 요트크루즈,여행·레저,0
 마지막 앵콜  캠핑 낚시 등산 러버를 위한 캐터필라 충전식 넥 라이트,여행·레저,1
캠핑불판 이거하나면 끝  직화 꼬치 국물 석쇠를 품은 코그릴 만능 불판 ,여행·레저,0
두드려라 열릴 것이다  미친 성능의 자동 트렁크 노크 센서,여행·레저,1
 앵콜  버튼을 누르지 않아도 높낮이 조절 가능한 알루미늄 타프 폴대,여행·레저,1
 워터저그 탄산저그  시원함은 기본  짜릿한 탄산까지 꽉  붙잡았습니다 ,여행·레저,1
 어나더라이프 감성담요  게으르고 싶은 나를 위한  애착 블랭킷 ,여행·레저,0
 웨건이 벤치가 됩니다  파라솔로 그늘까지 만드는 만능 벤치웨건,여행·레저,1
미니멀 감성 캠핑의 시작   버너 테이블 세트하나면 정말정말 충분해 ,여행·레저,1
 앵콜  켈티 콤비 타프 텐트     가지 조합으로 구성하는 텐트와 타프,여행·레저,0
행어와 선반을 동시에  무겁게 따로 갖고 다니지 마세요  ,여행·레저,0
캠핑을 더욱 자유롭게 즐기는 방법  번투드 서퍼 캠핑 테이블 ,여행·레저,0
부산 바디프로필 여행,여행·레저,0
모기향도 예쁘게 피우자  감성을 채워주는 모기향 거치대,여행·레저,0
 누적 억 앵콜    주년 미국 브랜드  켈티 의 입문용 캠핑 세트,여행·레저,1
 어닝이      사이즈로 접힙니다  펼쳐서 쓰는 어닝   타프 분리가능,여행·레저,0
  우드나인   감성캠핑 필수템 원목 모기향 거치대,여행·레저,0
뚜껑만 열려요  앞뒤 양문오픈형 폴딩박스     초면 설치끝  캠핑테이블,여행·레저,1
매트한 블랙 바늘빼기 멋진 낚시러의 선택,여행·레저,0
아직도 야외에서 햇빛 피해 다니시나요  휴대용 그늘막 타프면 고민 끝  ,여행·레저,0
      대학생      비치대장정  바다를 바꾸는 힘찬 발걸음,여행·레저,1
벽에 붙이는 포스터 운동일지  더짐 ,여행·레저,0
자  하늘을 날아볼까요  체험부터 자격증까지  가까운 용인으로 떠나요 ,여행·레저,0
내 차와 함께  분이면 완성  폴대가 필요없는 캄포 에어텐트,여행·레저,0
 천 캠핑인들이 인증한 우중캠핑의 명가   드베르그 여름 감성 캠핑 세트,여행·레저,0
 앵콜  심쿵주의  다시 돌아온 타케노코키홀더 ,여행·레저,0
 조기마감주의  앵콜 캠핑필수       불맛내는 직화 시어잘 토치,여행·레저,0
 백패커   아웃사이드 극찬  캠핑의 월드클라스 로손 해먹 ,여행·레저,1
